Record_ID,geo_county,geo_subcounty
KEN-TRK-159,Turkana,Turkana West
KEN-TRK-160,Turkana,Turkana South
KEN-TRK-170,Turkana,Turkana Central
KEN-TRK-171,Turkana,Turkana South
KEN-TRK-172,Turkana,Turkana Central
KEN-TRK-173,Turkana,Turkana West
KEN-TRK-175,Turkana,Turkana Central
KEN-TRK-177,Turkana,Turkana Central
KEN-TRK-180,Turkana,Turkana Central
KEN-TRK-186,Turkana,Turkana Central
KEN-TRK-187,Turkana,Turkana Central
KEN-TRK-188,Turkana,Turkana Central
KEN-TRK-189,Turkana,Turkana Central
KEN-TRK-192,Turkana,Turkana Central
KEN-TRK-193,Turkana,Turkana Central
KEN-TRK-194,Turkana,Turkana Central
KEN-TRK-197,Turkana,Turkana Central
KEN-TRK-198,Turkana,Turkana South
KEN-TRK-200,Turkana,Loima
KEN-TRK-201,Turkana,Turkana Central
KEN-TRK-204,Turkana,Turkana Central
KEN-TRK-208,Turkana,Turkana South
KEN-TRK-209,Turkana,Turkana South
KEN-TRK-210,Turkana,Turkana South
KEN-TRK-211,Turkana,Turkana South
KEN-TRK-212,Turkana,Turkana South
KEN-TRK-213,Turkana,Turkana South
KEN-TRK-214,Turkana,Turkana South
KEN-TRK-215,Turkana,Turkana South
KEN-TRK-216,Turkana,Turkana South
KEN-TRK-217,Turkana,Turkana Central
KEN-TRK-218,Turkana,Turkana South
KEN-TRK-219,Turkana,Turkana South
KEN-TRK-220,Turkana,Turkana South
KEN-TRK-222,Turkana,Turkana North
KEN-TRK-223,Turkana,Turkana West
KEN-MCK-036,Turkana,Turkana South
KEN-TRK-045,Turkana,Turkana South
KEN-TRK-046,Turkana,Turkana South
KEN-TRK-047,Turkana,Turkana South
KEN-TRK-048,Turkana,Turkana South
KEN-TRK-051,Turkana,Turkana South
KEN-TRK-053,Turkana,Turkana South
LWC-2012-001,Turkana,Turkana North
LWC-2009-010,Turkana,Turkana West
LWC-2021-013,Turkana,Turkana North
KEN-TRK-233,Turkana,Turkana West
KEN-TRK-234,Turkana,Turkana South
KEN-TRK-237,Turkana,Turkana North
LWC-2007-018,Turkana,Turkana North
LWC-2016-020,Turkana,Turkana South
LWC-2022-027,Turkana,Turkana Central
LWC-2011-028,Turkana,Turkana North
LWC-2006-034,Turkana,Turkana North
LWC-2008-044,Turkana,Turkana West
LWC-2025-047,Turkana,Turkana West
